date,content,fireworks_deepseek-chat_labels
12/17/23 18:20,This app is the biggest POS ever. No orders ever go through.,App Bugs / Payment Issue
10/2/21 1:53,App won't process my credit card. Customer support consists of a short paragraph stating I should update my credit card info exactly as my bank has on file and a was this page helpful? Smiley/sad face. I entered my cards info into uber eats and it it works fine.,App Bugs / Payment Issue
8/6/23 18:09,"Unable to place an order due to and ""unknown error"" across 3 days. When I was able to get to the order screen my saved payments would be gone. I would add a payment method only for it to disappear right away. Absolutely terrible experience using the app.",App Bugs / Payment Issue
5/30/21 18:15,"We wait for an hour for food to be delivered and right before arrival, the order gets canceled. This happens 2-3 times a week! Besides the frustration, they also do not refund the money! I will be filing multiple disputes at this point. This is unacceptable.",Delivery Issue
6/29/21 1:27,I pay for a membership for this delivery service but can't use my grubhub rewards for my delivery orders. I find that very frustrating and would not recommend membership to someone over this.,App Bugs / Payment Issue
8/25/21 22:45,"Terrible Service. It should be an automatic common sense to bring creamers, sugar packets, ketchup & etc when ordering drinks or food. My first and last time trying this so called delivery company!",Order Accuracy
6/7/21 0:11,"The service sucks, sucks really bad, the delivery people don't give a flop, I have been told my food was delivered when it wasn't SEVERAL times!! , had to call to cancel and ask my money back, Doordash all the way, not a single problem with them, put your stuff together grubhub.",Delivery Issue
8/8/22 8:44,"We've been loyal GH customers 3+ years. The last 5 months there's been increasingly worse issues with bad drivers, wrong orders, canceled orders after over 1 hour of waiting, food delivered to wrong locations. Their maps aren't accurate. We won't be using this anymore. Uber Eats/DoorDash are better with accuracy, service, drivers, and reasonable timing. Grubhub just lost hundreds from us per year. Never using GH again. USE ANOTHER APP!",Delivery Issue
10/3/22 3:23,not getting my order sometimes and delivering to the wrong address.,Delivery Issue
7/30/21 18:36,Never get any of my food,Order Accuracy
4/18/22 21:36,"If the restaurant messes up your order, you will only get a partial refund. So if I want a meal that isn't messed up, I would have to order again with all the fees and tipping on top. Super annoying.",Order Accuracy
8/15/20 20:05,Left food outside on the ground and flies got in my food.,Delivery Issue
7/18/22 10:48,"This app is a joke, right?... This is not what I ordered!!!!!!",Order Accuracy
11/1/20 23:05,"Every time I use grubhub it's a complete disappointment. My orders are always incorrect or missing an item. Refunds for items are useless, as I have to reorder the items, pay ANOTHER service fee, and another tip for drivers who don't bother to check that the order is complete. I wish I could give this service 0 stars.",Order Accuracy
11/4/23 19:31,Every time I use this app to order food it always get canceled. Last time using this stupid app. I try to use it because doordash don't have some restaurants on their platform and GrubHub does but it always get canceled every single time.,Delivery Issue
11/2/23 0:46,"This delivery system is a total rip off, not only do they charge for delivery but pay a 50% mark up on each item, half my order was missing tonight and the answer to that was to place another order and pay the mark up fee again.",Order Accuracy
1/15/22 22:41,"stop removing my reviews. I had a bad experience with GrubHub so I don't recommend it. this is a legitimate review, I don't appreciate being censored.",Customer Support Experience
9/6/21 16:16,Uninsralled reinstalled cleared cache deleted other apps still will not work nore then sign in then freezes or crashes. Just makes ne angry,App Bugs / Payment Issue
9/25/20 23:10,Terrible app layout and terrible customer experience. Never use grubhub,App Bugs / Payment Issue
5/11/20 3:27,"My order has been ready at the restaurant for over an hour now, the restaurant doesn't know when a driver will arrive since it keeps saying 2 min away and it never shows up. GrubHub customer service chat has 700 people in queue ahead of me, and the customer service line is similarly long. I Should have went with a different app.",Delivery Issue
11/18/22 17:21,If I could give you a negative number I would. I loved this app until your company gets hacked and all information us used to place orders. A company should inform its customers/users that it was hacked and our information was stolen. You guys are never going to be used by me. USERS BEWARE THERE ARE FRAUDULENT ORDERS BEING MADE WITH YOUR PERSONAL CREDIT CARD INFORMATION.!!,App Bugs / Payment Issue
7/28/22 5:42,This app is horrible now. You're lucky if the delivery person decides to deliver your order. I've lost count of how many times my order had to be cancelled and refunded because a delivery person decides they don't want to deliver the order after picking it up. It happens too frequently and grubhub isn't dealing with the issue properly. They keep letting this happen. Grubhub is quick to issue a refund when the issue arises but I don't want to keep track of 4 or 5 refunds back to back,Delivery Issue
6/30/21 5:41,The worst app ever stupid app,App Bugs / Payment Issue
1/9/21 20:55,Keeps telling me restaurants are closed. It is Saturday afternoon and they aren't closed. This app really sucks after the last update.,App Bugs / Payment Issue
9/7/22 2:04,didn't give me a free $10 order for August.,App Bugs / Payment Issue
1/14/21 18:10,"Literally on the first order I made, I was told there were issues my order was canceled. I waisted my lunch time and was not given a reason why.",Delivery Issue
6/30/20 15:09,Idk whats wrong but everytime I order from wawa instantly cancel super annoying this is my 3rd time now I have to wait for they can send me my money back that nice,App Bugs / Payment Issue
1/21/21 16:30,This app f###ing sucks,App Bugs / Payment Issue
1/10/21 0:04,The worst. Constantly shows no restaurants available. Will show restaurants open when they aren't. At least doordash works,App Bugs / Payment Issue
11/20/21 19:38,I don't like this app it does not give my correct food order,Order Accuracy
10/24/23 18:40,Worst food delivery app ever!!! Almost every time I order my food is late by an hour or more!!!! When you contact support for your money back they offer $5 on a $50 order,Delivery Issue
5/6/21 21:30,Order items you place comes up missing and you dont see the refunds from those missing items do not recommend this app,Order Accuracy
2/7/23 14:30,"One of the worst applications I have ever used. Paying for Grubhub+ FOR A SERVICE I CANT EVEN USE! None of my cards ever work, have tried multiple ones even PayPal, Google Pay, and Venmo . Reached out to support on countless occasions and all they ever do is apologize. Have not heard from any specialist to this day. Save your money and go to Postmates. Worst customer service ever.",App Bugs / Payment Issue
3/28/21 0:14,Service is getting worse. I placed an order and 1 hr later grubhub canceled it with no explanation. I placed the exact same order with uber eats and had no problem.,Delivery Issue
8/29/21 23:24,"Was enjoying that there is a service like this available. The application runs better. Food comes on time, it is fresh & it is hot. uoa Not anymore!!!!! Now that I have had it for awhile I am tired of illiterate Uber drivers who can not deliver the correct order. If I wanted Uber Eats I would have downloaded Uber Eats",Order Accuracy
11/18/20 23:21,Terribly inaccurate regarding what is offered on menus.,Order Accuracy
7/31/22 18:20,"restaurants that have the GrubHub bags on their shelves and his managers have confirmed that GrubHub delivers for them are not showing up in the website or the app. customer support is terrible. all I get is a ""we'll make a note of it""",App Bugs / Payment Issue
3/11/23 2:20,Cancel my orders without permission,App Bugs / Payment Issue
6/24/21 23:02,The first time and the last time that I use this app..,Others
6/2/20 3:41,Terrible. Multiple times I have ordered food through this app and the delivery driver never brings the food. By the time I find out that the food isn't coming...the restaurant is closed.,Delivery Issue
10/23/21 1:29,driver's suck. have to cancel order most of the time and just run somewhere quick for food,Delivery Issue
5/4/21 2:04,"They overprice absolutely everything. I was going to order on grubhub and it was coming out to $80 for 3 people's meals. I walked in and ordered and the order was only $40 for the EXACT SAME THING. Even taxes were bumped up. In the restaurant taxes were $2.83, on the app they were $17.",Price / Cost Complaint
7/9/21 21:19,"There needs to be a way to reprimand these garbage drivers. I used to love this app but my past 5 drivers have just left my food outside, no call, no text, no buzzer, no knock. Usually over $50 of food just sitting on a sidewalk in front of a large apartment complex for an hour, inexcusable. My instructions ask them to at least ring the buzzer, and ask them to bring it up. They dont want to go up 2 flights of stairs, fine whatever but AT LEAST LET MY KNOW MY FOOD IS THERE",Delivery Issue
11/4/22 16:43,"I have never been able to place an order with the app, even with different cards or different restaurants.",App Bugs / Payment Issue
10/21/21 3:29,Drivers are lazy liars.,Delivery Issue
9/29/20 2:54,First delivery isnt free and location is not accurate,Delivery Issue
12/6/20 18:29,Twice this week my food got messed up or canceled,Order Accuracy
12/1/22 21:38,"My order was great but the app broke my zfold. I noticed considerable lag after downloading and using the app and, after some time, the app froze and I was unable to use my phone at all. I had to restart and delete the app in order to use my device.",App Bugs / Payment Issue
6/29/21 4:12,"GH stole money from me.. I Ordered some food, paid and waited. When I looked to track the order I see that I have been charged more than I agreed to pay. GH said there was a price difference from the restaurant. I cant see how that is my fault. This issue should have been between GH and the restaurant. GH should not be able to adjust charges after the fact, without consent from the customer. How many other have they done this to? GH could mKe millions with this scam. AVOID. GRUBHUB!",App Bugs / Payment Issue
4/19/21 20:31,I get wrong orders delivered many times and either myself or a family member is out of lunch or dinner. System needs to be fixed.,Order Accuracy
3/6/23 4:03,The customer service is substandard. They don't keep up the promise of time guarantee. They reimbursed me $3 after repeatedly telling them that the food arrived 1 hour after the ETA and cold. The dasher completely ignored the instructions and left the food on the ground but I had to tip the dasher. The $3 credits don't appear anywhere for my next order and I was forced to pay with my credit card. This is my bad for wanting to give GrubHub another chance. Sincerely recommend Doordash!,Customer Support Experience
8/9/20 19:37,Cancels orders all the time,Delivery Issue
9/27/20 16:30,"Always cancels my orders and now says I live to far away, I have only had 1 successful delivery with them and like you think your order is coming and you're waiting, then you look at your phone and see the order is canceled so then i go to uber eats and order through them, they always come through but in the end its a 2 hour ordeal because they canceled my order, I wont order through grub hub again",Delivery Issue
9/16/20 7:27,i really wish we had the option to tip after delivery rather than before,Others
3/11/22 0:20,The way this app reloads while scrolling down the list of restaurants is jarring. It reloads then moves your position up while bringing the top information back into view. This needs to be smoothed out.,App Bugs / Payment Issue
3/18/21 0:28,Canceled my order with no explanation,Delivery Issue
9/13/22 18:37,Basically never get the food when promised and it's often missing items,Delivery Issue
4/16/21 3:47,Orders constantly being delayed and canceled...sometimes after waiting for over an hour already Bad when you message CSR and one of the replies back is 01:01:07)TP - Luis G: Is 2119 Grand Ave Granite City IL 62040 your right address?(01:01:25)TP - Luis G: Sorry incorrect message.,Delivery Issue
11/14/20 16:43,Way too expensive on delivery fees expecting for people to tip the drivers as well along with the taxes and usage fee ridiculous,Price / Cost Complaint
7/3/21 9:49,This app has gift cards problems i tried using my gift card and it gives an error saying stumbled upon a unknown error when i try ordering. its been like this for about a year now still nothing and customer service doesnt do anything to help they say they gonna call some other place to resolve the issue and still nothing im disspointed i wasted 80$ for nothing.,App Bugs / Payment Issue
9/26/21 1:45,Brought half my order I paid for but kept his tip.,Order Accuracy
1/25/21 21:43,Awful. Trying to use gift card 2 times and both times haven't gotten food. This app gives me nightmares,App Bugs / Payment Issue
5/16/22 19:34,Order was never delivered and after 2 hours said it was cancelled.,Delivery Issue
10/11/22 18:22,App takes a long time to load had this app for almost a year and has got worse over time. I have meals not show up. Had orders canceled AFTER charging my card for it then ot takes 3 to 5 days for thrm to refund it. Many late meals. Not worth the fee each month,App Bugs / Payment Issue
8/24/21 10:58,HORRIBLE. AVOID AT ALL COSTS,Others
5/30/20 3:29,They don't care if you get old nasty food from one of the places they deliver from and they won't do anything to fix it. I'm pregnant and got old food and they won't do anything to make it right. They need to be taken down.,Order Accuracy
11/18/23 17:18,TERRIBLE App it just doesn't work. No matter how many times I try to put my payment info I keep getting error messages.,App Bugs / Payment Issue
9/22/20 23:33,"After waiting over half an hour, I received a notification that my food was delivered. My food was never delivered. No one even pulled into the parking lot during this time frame. I waited another 10 minutes to file a complaint and got an instant refund. Not a full refund, because Grubhub keeps their service fees even if you don't get food. Obviously there was an issue I should've been notified about so I could've made other arrangements. A full refund would've been the right thing to do.",Delivery Issue
5/27/22 19:41,"When it works it is great. When it doesn't, do not expect help from customer service. My food was 2 hours late. I was offered a $7 coupon on an $80 meal that was very cold.",Customer Support Experience
10/1/23 18:58,HORRIBLE. Drivers being sent from 2 cities away. DO NOT USE and expect to get food. I have given them 3 chances ordering a simple pizza. They send a driver ALL 3 times from 2 cities away!!! Door dash is bad enough but AT LEAST they can get your order to you at some point. DO NOT waste your money with this garbage service. I'll never use them again. Period. What a joke of a company. You've been warned...,Delivery Issue
11/14/22 0:46,"Useless. It cannot deliver, just wants to charge extra for picking up food.",Delivery Issue
9/4/20 17:50,"These freaking apps don't put the deals on these apps causing us money,and mc donald's do not have a option to remove toppings,just a pit, we're getting ripped off, because they're not putting the deals on these apps, I'm gonna stop using them and go order, church's chicken do not have the specials on here either, we're tired of money hungry people, because of the virus,taking advantage of us,they lied and said it was for free for the drivers,they lied",Price / Cost Complaint
8/4/20 23:16,Everything I order with Gru bhub I'm always missing something out of my order.,Order Accuracy
3/1/21 2:23,Fees are outrageous! Taking advantage of the pandemic!,Price / Cost Complaint
12/16/21 20:28,Too bugy and it won't let me remove items and double charged me,App Bugs / Payment Issue
12/15/23 16:03,"UPDATE: I don't enjoy being lectured that a 20% tip isn't enough because ""Grubhub doesn't pay them."" You read that right, TWENTY PERCENT. These food delivery apps have really convinced idiot Americans that it's the CUSTOMER'S responsibility to pay THEIR employees a livable wage. 2021: If estimated delivery time increases, Grubhub won't let you cancel the order. Now I'll be waiting an hour and a half for a cold, small pizza. Thanks Grubhub! uecuea",Delivery Issue
5/2/20 3:26,"Horrid Customer Service, use DoorDash instead, you'll thank me.",Customer Support Experience
8/5/22 0:11,severely limited menu options when ordering through GrubHub Android app and gives wherever,App Bugs / Payment Issue
5/14/20 1:43,TERRIBLE! A restaurant can cancel your order without warning and you have to wait 5 days for a refund. They do nothing else. No discount. No credits. Nothing!,App Bugs / Payment Issue
2/2/21 1:55,"Deleted the app due to racist developers. Today a notification was sent to support black owned businesses. Being a small business owner is difficult for any race, and many fail for many reasons. To support a business based soly on the owners skin color is pure racism, and to push your members to do the same is spreading exclusionism. There are plenty of other delivery apps to chose from, I refuse to support a company as horrible as this!",Others
7/18/22 0:48,Taxes and fees add to aomost $10 on average,Price / Cost Complaint
3/20/21 4:53,Didn't give me perks on the food I love and wrong order,Order Accuracy
8/22/23 23:25,food is marked up vs in store,Price / Cost Complaint
10/9/20 1:08,Most of the time works fine but this is the 2nd or 3 rd time they cancelled my order tying up my money so I can't feed my family. They said the placed closed early but I called the same place and they are open. Customer service gave me a $5 code but that won't cover their delivery fees and definitely won't feed my family,Delivery Issue
7/8/20 1:33,"About every 2nd, 3rd time I order, I get the wrong food order delivered to me that clearly was someone else's order. I'm sure the other customers weren't happy getting my order mixed up with their's. Worst service ever!",Order Accuracy
12/18/21 18:55,"I had stopped using Grubhub for awhile because of all sorts of issues with their workers. I live in an apartment that is inside a family house and drivers would continuously deliver the food to the family instead of me. It got to the point where I started saying in the notes ""I will be standing outside with a flashlight, please hand it to me"" and they would still just leave it on the front step. I came back to order something strictly for the Endwalker Promotion - Not only was the food horribly overpriced, the fees and taxes and everything were HUGE. Again, I specified that I would be standing outside with a flashlight and the driver instead went straight to the front door and started knocking - even after I called out to him 4 times, I finally had to shine the flashlight in his face. The drivers NEVER read the instructions. And now customer service is telling me they can't answer my question about where my Endwalker code is. All of the customer service people I have spoken with have stated that the code was applied to the order correctly, however they have not given me a clear answer either way about whether I was going to receive the code. TLDR: No one bothers to read what you write in the notes (drivers nor customer service reps) and the service is way too overpriced. Just call your local restaurant and go pick-up the food, it's way cheaper.",Delivery Issue
1/11/22 22:11,late then cancelled. I'm stuck ordering food bc of no coverage at work and I have been let down hard.,Delivery Issue
1/14/24 12:31,Delivery Fees and Service fees are too high,Price / Cost Complaint
4/30/22 17:02,Fraudulent charges out of New York!!!! Over $100.00,App Bugs / Payment Issue
9/11/20 5:35,The charge a lot of hidden fees twice and it looks like they dont pay the drivers because they prefilled the tip amount to 20%,Price / Cost Complaint
12/6/21 13:26,Grandma app in bed by 8p and she does not get her order in her location,Delivery Issue
1/7/22 21:35,"Signed up for a trial of their Grubhub+, attempted to place an order & it was immediately canceled. Contacted customer care & was told the account I'd just created was blocked. Assured me they'd clear the issue & contact me within 48hours. A week passed with no contact & my account still blocked, so I contacted them again. Was told they'd now escalated the case & I'd hear back within 48hours. Was never contacted afterward. Trial ends with me never placing an order & account still blocked. Trash",Customer Support Experience
4/14/23 0:54,"These food delivery apps suck compared to when the first came out. Trying to milk as much money as possible while doing none of the work. To top it off I ordered today and my driver went to the other side of town to get another order. Mine got delayed and was, of course, cold and soggy. I unsubbed, Un-installed, and wrote this review. Greed ruins everything great uoi",Delivery Issue
9/2/22 4:12,"Out of 5 orders only ONE has been successfully delivered due to no fault of user...says refund has been issued...then takes over 5 business days to credit back to account. There is never a reason to why ""something went wrong and we had to refund your order"". It never tells you what the issue was. And also lists places that don't even accept grubhub??!! Please fix or account will be terminated.",App Bugs / Payment Issue
10/22/20 20:13,Every time i have tried to place an order it never processed door dash and uber eats never let me down,App Bugs / Payment Issue
7/1/22 19:32,The app won't let me confirm my address when ordering,App Bugs / Payment Issue
1/17/21 21:50,"Stop raising your prices! And take better care of your drivers too. Disgusting. Also, its BS we can't get ahold of customer service. Plus Ive ordered from the same place more than 3 times and it still says I have to order 1 more time.",Customer Support Experience
4/20/21 22:19,"way too many hidden fees, prices increased over shops menu board. scam",Price / Cost Complaint
10/11/20 2:46,"Installed the app. Tried to order. Order gets immediately canceled. I go into chat to explain if this is going to be an ongoing problem if I order again. Got told ""It got canceled and you'll receive a refund."" (something I already knew.) Representative left chat before I could send my response and question. Chat says I can rate the experience. It doesn't. So I'm doing it here. Thanks GrubHub.",Customer Support Experience
9/3/20 16:48,I think the charges are outrageous. The driver doesn't even receive them. And it cost double what the food does to order. I understand it's a business. But this is just plain robbery!,Price / Cost Complaint
3/30/21 0:44,Multiple times waiting longer than TWO HOURS to get food. That's two hours past the notification that my food was being prepared. Uninstalling Do not recommend,Delivery Issue
9/26/20 3:28,"Kept adding hours to my delivery time it's up 3 times first one a whole hour the second 15 mins the third was another 15 mins just tacked on, I had 2 drivers pop up on the tracker, none where in the spot on the map that they should of been unless they were sitting stationary, worst food delivery app on the play store and that's facts.",Delivery Issue
12/13/20 2:04,"They don't vet their drivers well enough. A lot of their drivers do multiple apps at once, pickup your food and then drive all over town before delivering to you. It's often lukewarm at best when it gets to you an hour late.",Delivery Issue
5/14/20 1:10,"Falsely advertised a $10 off $30 perk for a non-particpating restaurant and I tried to work it out with them, they gave me $5 off after over an hour of being on their chat. Not worth it. Used to be my favorite app., has lost integrity",App Bugs / Payment Issue
5/22/20 21:55,"App sucks,customer service is the worst. Expect cold food, overpriced and mistakes.",Customer Support Experience
7/3/20 3:07,App unusable after last update. Agreement pop up at the end prevents from placing the final order,App Bugs / Payment Issue
2/5/21 1:41,Terrible had to place 2 orders for something that seriously could have been avoided.uoi,Order Accuracy
9/29/20 22:57,Worst dilvery service ever. Have these guys the benifit of the dought and they failed me twice driver got lost and did not even make it to pick up my order from resturant and the next time pick up food and didnt deliver it,Delivery Issue
3/16/22 1:06,always mess my order up somehow...,Order Accuracy
1/19/23 23:52,Can't report anything now through the app. Keeps saying my wifi is problem yet I can place orders just fine. They are doing this so you can't report late deliveries to have them honor their guarantee.,App Bugs / Payment Issue
6/29/20 18:17,Keeps canceling order,Delivery Issue
5/17/20 3:31,They are garbage. They are trying to steal money from orders that were canceled and dont want to refund peoples money. I have been waiting for over a week for my refunds. Cant understand anyone in the company either.,App Bugs / Payment Issue
11/28/20 5:17,Absolute worst food delivery app . Terrible service.,Others
12/25/20 3:10,"Would give it zero if I could. I ordered food, it got delayed twice. After waiting for over over an hour, got a text that it was canceled. Do not order if you hungry.",Delivery Issue
5/25/21 12:12,Advertises by notifications that alert you,App Bugs / Payment Issue
4/16/22 1:16,"The app increases the price of items from restaurants by several dollars each and pockets the difference. They pay their drivers almost nothing, and straight lied to me about a ""free meal"" once a month from getting the paid membership. 10 dollars for pickup only not only can't pay for one single meal with the increased cost of food lately, but it defeats the entire purpose of the app??? pickup only AND paying 3-5 dollars extra a menu item is NOT a free meal for a delivery app. Evil company",Price / Cost Complaint
12/29/21 0:33,This app sucks and very glitchy i try to put my paymenr info and on the app it self it didnt work bit charged me on pay pal. Not worth the headach dont down load,App Bugs / Payment Issue
5/10/20 20:24,Nit reliable they messed up my order,Order Accuracy
2/16/22 4:18,Worst experience ever. They had me wait over 1 hour for my family order and then cancelled. I saw it change to 3 different drivers and Grubhub informed me the 2nd driver picked up the order and never delivered. The 3rd driver cancelled the order. I will never use this service again. They left my family hungry and lost a customer for life. I suggest to avoid this app at all costs.,Delivery Issue
5/1/21 17:16,Grub hub is the worst. They will cancel your order a full hour after you order it.,Delivery Issue
11/22/20 0:23,The new layout leaves a lot to be desired. No way to limit distance for pick up orders and can't skip to sections on menu,App Bugs / Payment Issue
2/15/22 22:18,It has way too many bugs to be a functional app. I'm amazed some people are even able to order what they want.,App Bugs / Payment Issue
8/12/23 6:48,This is a terrible app I get tipping is part of the reason but they tell the drivers if there getting a tip or not pretty much guilt tripping you into it and if you forget to tip they don't help you change that plus if you don't tip (your order will never get fulfilled) it's kinda scummy especially if your low on funds,Price / Cost Complaint
11/28/20 4:37,Worst food ordering platform. All kinds of app issues and the first-order promo code didn't work.,App Bugs / Payment Issue
10/9/22 20:34,that keeps telling me that there are no open restaurants in my area but they're definitely is open restaurants during the day.,App Bugs / Payment Issue
11/1/21 1:17,GrubHub+ free delivery is added as a promo so no actual promo can be used. Nothing wrong on website.,App Bugs / Payment Issue
8/11/22 0:41,It keeps saying this restaurant doesn't accept this payment method,App Bugs / Payment Issue
11/1/20 21:57,You're Better off ordering from place and picking up yourself. I was missing food and restaurant cant refund you the app has to! DO NOT USE!!,Order Accuracy
4/30/22 0:53,way to expensive compared to other companies,Price / Cost Complaint
8/10/21 5:56,"After using for quite a while, terrible experience. Many times restaurants were closed, many times menu out of sync. Using this app meaning waste of time and money. There are better and accurate apps available. I will start using it.",App Bugs / Payment Issue
5/11/20 21:21,"Keeps sending http 422 error. Cant even order food. Double checked and triple checked to see if I have mistyped any information, nope all good. Just won't lemme click the order button whenever I'm at checkout. I cant get food today and I even subscribed and payed 10 bucks just so I can have free delivery for awhile. After paying for the subscription and not being able to order my own food I'm just a little upset which should be completely understandable",App Bugs / Payment Issue
5/15/21 0:28,"Ridiculously expensive, I hate it, but I do it anyway. Easily double the pickup cost.",Price / Cost Complaint
5/2/20 2:58,It won't let me check out and I been having trouble with this dang app,App Bugs / Payment Issue
10/5/23 16:12,"5 years later, the one star review is still 100% valid. This company cannot deliver anything in under 1.5 hours. They will also lie to you and say its only going to take 20-30 min, of course. Once they have your payment, watch that ETA creep up, up, up, up......",Delivery Issue
4/24/21 0:20,"They won't process a refund after they mess up the second time in a week, it does not do you any good to give him a second chance.",Customer Support Experience
6/2/21 5:18,I installed. Told it my address it loaded for a while and failed. I uninstalled the app. Useless software.,App Bugs / Payment Issue
3/25/21 2:52,"The one time I wanted to use it, I had to wait about an hour which is fine. Then it said my order was delivered....never was. Even drove to my neighbors house with nearly the same address as mine as our mail gets mixed up too. Nothing was left outside and it was already 8:30pm so I didn't bother knocking--just went home. I didn't get my meal period. Never using this app again. At least I got my refund.",Delivery Issue
10/29/22 18:25,"If by any chance you do get your food, its most likely cold, no customer service help if you need assistance , no refund when the driver purposely doesn't make it because they need a free meal and NOBODY SPEAKS ENGLISH and gives wrong order",Customer Support Experience
6/28/20 2:28,"Wow, this app went downhill fast in the last 4 years. Mistimed alerts, bad communication, UI slipping, and dispassionate customer service. I'd gladly pay other companies more to do it better.",Customer Support Experience
6/14/23 2:47,Too many issues with drivers not delivering or delivering the wrong order. I've had to ask for 5 refunds in the last month alone. I'm done with GrubHub.,Delivery Issue
1/1/24 9:02,"The customer service is horrible. After getting more then a few bad orders, missing items or not even getting what was ordered. My last straw was tonight. I had an order including tip and fees of just over 80.00. it never shows. I contacted customer service and they said they couldn't help me and that all they could offer was 5.00 after I complained some more the manager gave me 3 25.00 gift codes still not all of what I paid and I couldn't use it all on one order. Needles to say dont use.",Customer Support Experience
5/28/22 4:11,Utter garbage. Customer service totally unhelpful. Every order gets canceled and refunded immediately even when using a gift card.,Customer Support Experience
11/14/20 4:08,"Ordered grubhub through my Yelp app. Food did not arrive. Driver told me they were outside. I waited outside, nobody showed up. Called grubhub, they said sorry, and just to order again. Goodbye. Something doesn't sit right with how that was executed as a customer service consultant. So.. I wait for my food for an hour, I get an apology and a refund I have to wait 5 business days for? I still have a family to feed. Thanks for nothing",Delivery Issue
8/27/22 1:29,"orders keep getting cancelled. drivers are rarely on time, and my food is always cold",Delivery Issue
11/13/20 0:42,Start giving Codes to Excisting Customers! Sheesh,Others
4/4/22 18:20,This latest update creates more hands attention to the phone while trying to drive.,App Bugs / Payment Issue
10/22/22 1:32,No way to turn off ad notifications and still know when your food arrives,App Bugs / Payment Issue
5/18/22 13:10,"$15 free lunch was a scam, app did not let me order anything",App Bugs / Payment Issue
7/23/20 3:41,Bad service food is always cold when it gets here rude people at the call center and unreliable and comes wherever!,Customer Support Experience
10/31/20 3:07,Idiot drivers work here who do not know how to read an address.,Delivery Issue
3/28/23 2:10,paid $13.00 for deliver fees and most of my food was missing good luck getting that refunded or getting my food had to reorder and pay more deliver fees,Order Accuracy
10/4/21 21:01,"Spent an hour trying to order food but app kept freezing, then I cancelled my membership and all of sudden the app works...wow.",App Bugs / Payment Issue
11/10/21 22:32,They are theives DO NOT ORDER FROM THESE PEOPLE.,Others
7/18/23 20:45,"Don't install it. The app doesn't have enough discounts, wrong order, even when you have the membership, they still charge you for something else. A lot of problems to pay and place orders. I believe one star is a lot for this app. ",App Bugs / Payment Issue
5/18/22 18:09,I will no longer be using GrubHub since you guys feel like it's okay that one of your drivers could leave food for a handicapped customer in an area that was wheelchair INACCESSIBLE. All because he got a 26% tip.. I hope GrubHub gets sued. Especially seeing how he texted that woman.. it's disgusting. If I could give 0/5 stars I would.,Delivery Issue
9/3/22 0:50,sent my order from Ohio to Indianapolis Indiana,Delivery Issue
8/23/21 1:31,"Im going back to Favor, this app is no good.",App Bugs / Payment Issue
7/28/20 2:08,"Sends ads as notifications on your phone. That's pretty crappy, there are other delivery apps that don't do that. I'd suggest using them.",Others
12/20/21 22:40,This app is useless it does not work I put my location and it said uh oh we are having trouble finding your location do not download it!,App Bugs / Payment Issue
6/25/20 3:32,Third party food apps are a parasite wrong order to the food industry.,Order Accuracy
6/17/22 1:10,"This used to be my go to app for take out orders, I don't even know how much money I've spent through grubhub, but I have had more problems in the last year than I've had orders properly received. Incorrect orders picked up, drivers not telling me food has arrived or going in the wrong direction and food arriving cold, or food not even showing up. I uninstalled after the third straight order that didn't even make it to my door. DO NOT USE THIS APP.",Delivery Issue
