date,content,score,userName,app,platform,Label 1 (Kenneth),Label 2 (Ben),Label 3 (Sahil)
8/8/22 8:44,"We've been loyal GH customers 3+ years. The last 5 months there's been increasingly worse issues with bad drivers, wrong orders, canceled orders after over 1 hour of waiting, food delivered to wrong locations. Their maps aren't accurate. We won't be using this anymore. Uber Eats/DoorDash are better with accuracy, service, drivers, and reasonable timing. Grubhub just lost hundreds from us per year. Never using GH again. USE ANOTHER APP!",1,Katie Fortenbacher,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
10/3/22 3:23,not getting my order sometimes and delivering to the wrong address.,1,Nicholas Bonnet,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
7/30/21 18:36,Never get any of my food,1,Morgan Castillo,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
4/18/22 21:36,"If the restaurant messes up your order, you will only get a partial refund. So if I want a meal that isn't messed up, I would have to order again with all the fees and tipping on top. Super annoying.",1,Kyle Rain,Grubhub,Google Play,Customer Support Experience,Order Accuracy,Customer Support Experience
8/15/20 20:05,Left food outside on the ground and flies got in my food.,1,Annie Gainey,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
7/18/22 10:48,"This app is a joke, right?... This is not what I ordered!!!!!!",1,wayd weaver,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
11/1/20 23:05,"Every time I use grubhub it's a complete disappointment. My orders are always incorrect or missing an item. Refunds for items are useless, as I have to reorder the items, pay ANOTHER service fee, and another tip for drivers who don't bother to check that the order is complete. I wish I could give this service 0 stars.",1,Sydni W,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
11/4/23 19:31,Every time I use this app to order food it always get canceled. Last time using this stupid app. I try to use it because doordash don't have some restaurants on their platform and GrubHub does but it always get canceled every single time.,1,Clifford Fenelus,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
11/2/23 0:46,"This delivery system is a total rip off, not only do they charge for delivery but pay a 50% mark up on each item, half my order was missing tonight and the answer to that was to place another order and pay the mark up fee again.",1,J. Eric Seward,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
1/15/22 22:41,"stop removing my reviews. I had a bad experience with GrubHub so I don't recommend it. this is a legitimate review, I don't appreciate being censored.",1,Dylan Cantrell,Grubhub,Google Play,Others,Others,Others
9/6/21 16:16,Uninsralled reinstalled cleared cache deleted other apps still will not work nore then sign in then freezes or crashes. Just makes ne angry,1,Christian tacos Stewart,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
9/25/20 23:10,Terrible app layout and terrible customer experience. Never use grubhub,1,Brian Stavola,Grubhub,Google Play,Customer Support Experience,Customer Support Experience,Customer Support Experience
5/11/20 3:27,"My order has been ready at the restaurant for over an hour now, the restaurant doesn't know when a driver will arrive since it keeps saying 2 min away and it never shows up. GrubHub customer service chat has 700 people in queue ahead of me, and the customer service line is similarly long. I Should have went with a different app.",1,Alex Lawrence,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
11/18/22 17:21,If I could give you a negative number I would. I loved this app until your company gets hacked and all information us used to place orders. A company should inform its customers/users that it was hacked and our information was stolen. You guys are never going to be used by me. USERS BEWARE THERE ARE FRAUDULENT ORDERS BEING MADE WITH YOUR PERSONAL CREDIT CARD INFORMATION.!!,1,Jennifer Camvel,Grubhub,Google Play,Others,Others,Others
7/28/22 5:42,This app is horrible now. You're lucky if the delivery person decides to deliver your order. I've lost count of how many times my order had to be cancelled and refunded because a delivery person decides they don't want to deliver the order after picking it up. It happens too frequently and grubhub isn't dealing with the issue properly. They keep letting this happen. Grubhub is quick to issue a refund when the issue arises but I don't want to keep track of 4 or 5 refunds back to back,1,Joseph Abrahante,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
6/30/21 5:41,The worst app ever stupid app,1,Sonarua Christan,Grubhub,Google Play,Others,Payment / App Bugs,Payment / App Bugs
1/9/21 20:55,Keeps telling me restaurants are closed. It is Saturday afternoon and they aren't closed. This app really sucks after the last update.,1,Gene Odonnell,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
9/7/22 2:04,didn't give me a free $10 order for August.,1,Trey Streetman,Grubhub,Google Play,Others,Others,Others
1/14/21 18:10,"Literally on the first order I made, I was told there were issues my order was canceled. I waisted my lunch time and was not given a reason why.",1,Kai P,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
6/30/20 15:09,Idk whats wrong but everytime I order from wawa instantly cancel super annoying this is my 3rd time now I have to wait for they can send me my money back that nice,1,Split87,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
1/21/21 16:30,This app f###ing sucks,1,Andrew Crawford,Grubhub,Google Play,Others,Others,Others
1/10/21 0:04,The worst. Constantly shows no restaurants available. Will show restaurants open when they aren't. At least doordash works,1,jacob carraher,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
11/20/21 19:38,I don't like this app it does not give my correct food order,1,Jennika Daniel (Jenni),Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
10/24/23 18:40,Worst food delivery app ever!!! Almost every time I order my food is late by an hour or more!!!! When you contact support for your money back they offer $5 on a $50 order,1,Boka Carter,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
5/6/21 21:30,Order items you place comes up missing and you dont see the refunds from those missing items do not recommend this app,1,Lora Moore,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
2/7/23 14:30,"One of the worst applications I have ever used. Paying for Grubhub+ FOR A SERVICE I CANT EVEN USE! None of my cards ever work, have tried multiple ones even PayPal, Google Pay, and Venmo . Reached out to support on countless occasions and all they ever do is apologize. Have not heard from any specialist to this day. Save your money and go to Postmates. Worst customer service ever.",1,Edgar G,Grubhub,Google Play,Customer Support Experience,Customer Support Experience,Customer Support Experience
3/28/21 0:14,Service is getting worse. I placed an order and 1 hr later grubhub canceled it with no explanation. I placed the exact same order with uber eats and had no problem.,1,Amy Noles,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
8/29/21 23:24,"Was enjoying that there is a service like this available. The application runs better. Food comes on time, it is fresh & it is hot. uoa Not anymore!!!!! Now that I have had it for awhile I am tired of illiterate Uber drivers who can not deliver the correct order. If I wanted Uber Eats I would have downloaded Uber Eats",1,Karen Lane Marr,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
11/18/20 23:21,Terribly inaccurate regarding what is offered on menus.,1,Brandon Respress,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
7/31/22 18:20,"restaurants that have the GrubHub bags on their shelves and his managers have confirmed that GrubHub delivers for them are not showing up in the website or the app. customer support is terrible. all I get is a ""we'll make a note of it""",1,Kevin Matthews (soloha),Grubhub,Google Play,Customer Support Experience,Customer Support Experience,Customer Support Experience
3/11/23 2:20,Cancel my orders without permission,1,Karen Foran,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
6/24/21 23:02,The first time and the last time that I use this app..,1,Terry I,Grubhub,Google Play,Others,Others,Others
6/2/20 3:41,Terrible. Multiple times I have ordered food through this app and the delivery driver never brings the food. By the time I find out that the food isn't coming...the restaurant is closed.,1,Evan Allison,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
10/23/21 1:29,driver's suck. have to cancel order most of the time and just run somewhere quick for food,1,Jakob Elder,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
5/4/21 2:04,"They overprice absolutely everything. I was going to order on grubhub and it was coming out to $80 for 3 people's meals. I walked in and ordered and the order was only $40 for the EXACT SAME THING. Even taxes were bumped up. In the restaurant taxes were $2.83, on the app they were $17.",1,Panda96 Assassin,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
7/9/21 21:19,"There needs to be a way to reprimand these garbage drivers. I used to love this app but my past 5 drivers have just left my food outside, no call, no text, no buzzer, no knock. Usually over $50 of food just sitting on a sidewalk in front of a large apartment complex for an hour, inexcusable. My instructions ask them to at least ring the buzzer, and ask them to bring it up. They dont want to go up 2 flights of stairs, fine whatever but AT LEAST LET MY KNOW MY FOOD IS THERE",1,no thanks,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
11/4/22 16:43,"I have never been able to place an order with the app, even with different cards or different restaurants.",1,AM,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
10/21/21 3:29,Drivers are lazy liars.,1,Red Jewlzion,Grubhub,Google Play,Others,Delivery Issue,Delivery Issue
9/29/20 2:54,First delivery isnt free and location is not accurate,1,420 Girl,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
12/6/20 18:29,Twice this week my food got messed up or canceled,1,rebecca O'Sullivan,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
12/1/22 21:38,"My order was great but the app broke my zfold. I noticed considerable lag after downloading and using the app and, after some time, the app froze and I was unable to use my phone at all. I had to restart and delete the app in order to use my device.",1,Daniel David,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
6/29/21 4:12,"GH stole money from me.. I Ordered some food, paid and waited. When I looked to track the order I see that I have been charged more than I agreed to pay. GH said there was a price difference from the restaurant. I cant see how that is my fault. This issue should have been between GH and the restaurant. GH should not be able to adjust charges after the fact, without consent from the customer. How many other have they done this to? GH could mKe millions with this scam. AVOID. GRUBHUB!",1,Tammy Kiger,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
4/19/21 20:31,I get wrong orders delivered many times and either myself or a family member is out of lunch or dinner. System needs to be fixed.,1,LEVENTE KUSAI,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
3/6/23 4:03,The customer service is substandard. They don't keep up the promise of time guarantee. They reimbursed me $3 after repeatedly telling them that the food arrived 1 hour after the ETA and cold. The dasher completely ignored the instructions and left the food on the ground but I had to tip the dasher. The $3 credits don't appear anywhere for my next order and I was forced to pay with my credit card. This is my bad for wanting to give GrubHub another chance. Sincerely recommend Doordash!,1,Varun Turlapati,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
8/9/20 19:37,Cancels orders all the time,1,Landon Friesen,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
9/27/20 16:30,"Always cancels my orders and now says I live to far away, I have only had 1 successful delivery with them and like you think your order is coming and you're waiting, then you look at your phone and see the order is canceled so then i go to uber eats and order through them, they always come through but in the end its a 2 hour ordeal because they canceled my order, I wont order through grub hub again",1,Ashley Burke,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
9/16/20 7:27,i really wish we had the option to tip after delivery rather than before,1,Sarah Wood,Grubhub,Google Play,Others,Others,Others
3/11/22 0:20,The way this app reloads while scrolling down the list of restaurants is jarring. It reloads then moves your position up while bringing the top information back into view. This needs to be smoothed out.,1,Jarett Payne,Grubhub,Google Play,Others,Payment / App Bugs,Payment / App Bugs
3/18/21 0:28,Canceled my order with no explanation,1,Will Iam,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
9/13/22 18:37,Basically never get the food when promised and it's often missing items,1,Stephanie Deason,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
4/16/21 3:47,Orders constantly being delayed and canceled...sometimes after waiting for over an hour already Bad when you message CSR and one of the replies back is 01:01:07)TP - Luis G: Is 2119 Grand Ave Granite City IL 62040 your right address?(01:01:25)TP - Luis G: Sorry incorrect message.,1,Wayne Price,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
11/14/20 16:43,Way too expensive on delivery fees expecting for people to tip the drivers as well along with the taxes and usage fee ridiculous,1,Frankie Harrington,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
7/3/21 9:49,This app has gift cards problems i tried using my gift card and it gives an error saying stumbled upon a unknown error when i try ordering. its been like this for about a year now still nothing and customer service doesnt do anything to help they say they gonna call some other place to resolve the issue and still nothing im disspointed i wasted 80$ for nothing.,1,Speedy ClipZ,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
9/26/21 1:45,Brought half my order I paid for but kept his tip.,1,Everett Harrison,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
1/25/21 21:43,Awful. Trying to use gift card 2 times and both times haven't gotten food. This app gives me nightmares,1,Dakota Whipple,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
5/16/22 19:34,Order was never delivered and after 2 hours said it was cancelled.,1,M Elizondo,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
10/11/22 18:22,App takes a long time to load had this app for almost a year and has got worse over time. I have meals not show up. Had orders canceled AFTER charging my card for it then ot takes 3 to 5 days for thrm to refund it. Many late meals. Not worth the fee each month,1,Bryan Holtz,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
8/24/21 10:58,HORRIBLE. AVOID AT ALL COSTS,1,Joe â€šÃ„ÃºJoeJoeKeysâ€šÃ„Ã¹ Liedtke,Grubhub,Google Play,Others,Others,Others
5/30/20 3:29,They don't care if you get old nasty food from one of the places they deliver from and they won't do anything to fix it. I'm pregnant and got old food and they won't do anything to make it right. They need to be taken down.,1,Daphne Barnes,Grubhub,Google Play,Others,Others,Others
11/18/23 17:18,TERRIBLE App it just doesn't work. No matter how many times I try to put my payment info I keep getting error messages.,1,Garrett Brown,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
9/22/20 23:33,"After waiting over half an hour, I received a notification that my food was delivered. My food was never delivered. No one even pulled into the parking lot during this time frame. I waited another 10 minutes to file a complaint and got an instant refund. Not a full refund, because Grubhub keeps their service fees even if you don't get food. Obviously there was an issue I should've been notified about so I could've made other arrangements. A full refund would've been the right thing to do.",1,Christian Larsen,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
5/27/22 19:41,"When it works it is great. When it doesn't, do not expect help from customer service. My food was 2 hours late. I was offered a $7 coupon on an $80 meal that was very cold.",1,ilzhen,Grubhub,Google Play,Customer Support Experience,Customer Support Experience,Customer Support Experience
10/1/23 18:58,HORRIBLE. Drivers being sent from 2 cities away. DO NOT USE and expect to get food. I have given them 3 chances ordering a simple pizza. They send a driver ALL 3 times from 2 cities away!!! Door dash is bad enough but AT LEAST they can get your order to you at some point. DO NOT waste your money with this garbage service. I'll never use them again. Period. What a joke of a company. You've been warned...,1,Chris Edmondson,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
11/14/22 0:46,"Useless. It cannot deliver, just wants to charge extra for picking up food.",1,Henry Robertson,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
9/4/20 17:50,"These freaking apps don't put the deals on these apps causing us money,and mc donald's do not have a option to remove toppings,just a pit, we're getting ripped off, because they're not putting the deals on these apps, I'm gonna stop using them and go order, church's chicken do not have the specials on here either, we're tired of money hungry people, because of the virus,taking advantage of us,they lied and said it was for free for the drivers,they lied",1,google user,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
8/4/20 23:16,Everything I order with Gru bhub I'm always missing something out of my order.,1,Sanders Frees,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
3/1/21 2:23,Fees are outrageous! Taking advantage of the pandemic!,1,Terri Townsend,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
12/16/21 20:28,Too bugy and it won't let me remove items and double charged me,1,chris essex,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
12/15/23 16:03,"UPDATE: I don't enjoy being lectured that a 20% tip isn't enough because ""Grubhub doesn't pay them."" You read that right, TWENTY PERCENT. These food delivery apps have really convinced idiot Americans that it's the CUSTOMER'S responsibility to pay THEIR employees a livable wage. 2021: If estimated delivery time increases, Grubhub won't let you cancel the order. Now I'll be waiting an hour and a half for a cold, small pizza. Thanks Grubhub! uecuea",1,Trinity â€šÃ„ÃºTrinityâ€šÃ„Ã¹ T,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
5/2/20 3:26,"Horrid Customer Service, use DoorDash instead, you'll thank me.",1,Mister Benson,Grubhub,Google Play,Others,Customer Support Experience,Customer Support Experience
8/5/22 0:11,severely limited menu options when ordering through GrubHub Android app and gives wherever,1,Brian Brooks,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
5/14/20 1:43,TERRIBLE! A restaurant can cancel your order without warning and you have to wait 5 days for a refund. They do nothing else. No discount. No credits. Nothing!,1,Cleo Cudjoe (Cleo Shelia Kessie),Grubhub,Google Play,Customer Support Experience,Customer Support Experience,Customer Support Experience
2/2/21 1:55,"Deleted the app due to racist developers. Today a notification was sent to support black owned businesses. Being a small business owner is difficult for any race, and many fail for many reasons. To support a business based soly on the owners skin color is pure racism, and to push your members to do the same is spreading exclusionism. There are plenty of other delivery apps to chose from, I refuse to support a company as horrible as this!",1,Tapunks,Grubhub,Google Play,Others,Others,Others
7/18/22 0:48,Taxes and fees add to aomost $10 on average,1,Joe Riley,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
3/20/21 4:53,Didn't give me perks on the food I love and wrong order,1,Clarktent,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
8/22/23 23:25,food is marked up vs in store,1,Robert Koch,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
10/9/20 1:08,Most of the time works fine but this is the 2nd or 3 rd time they cancelled my order tying up my money so I can't feed my family. They said the placed closed early but I called the same place and they are open. Customer service gave me a $5 code but that won't cover their delivery fees and definitely won't feed my family,1,JD Trahekul,Grubhub,Google Play,Customer Support Experience,Customer Support Experience,Customer Support Experience
7/8/20 1:33,"About every 2nd, 3rd time I order, I get the wrong food order delivered to me that clearly was someone else's order. I'm sure the other customers weren't happy getting my order mixed up with their's. Worst service ever!",1,DATâˆšÃ– TRâˆšÃ²N1K,Grubhub,Google Play,Delivery Issue,Order Accuracy,Delivery Issue
12/18/21 18:55,"I had stopped using Grubhub for awhile because of all sorts of issues with their workers. I live in an apartment that is inside a family house and drivers would continuously deliver the food to the family instead of me. It got to the point where I started saying in the notes ""I will be standing outside with a flashlight, please hand it to me"" and they would still just leave it on the front step. I came back to order something strictly for the Endwalker Promotion - Not only was the food horribly overpriced, the fees and taxes and everything were HUGE. Again, I specified that I would be standing outside with a flashlight and the driver instead went straight to the front door and started knocking - even after I called out to him 4 times, I finally had to shine the flashlight in his face. The drivers NEVER read the instructions. And now customer service is telling me they can't answer my question about where my Endwalker code is. All of the customer service people I have spoken with have stated that the code was applied to the order correctly, however they have not given me a clear answer either way about whether I was going to receive the code. TLDR: No one bothers to read what you write in the notes (drivers nor customer service reps) and the service is way too overpriced. Just call your local restaurant and go pick-up the food, it's way cheaper.",1,Niome Mizune,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
1/11/22 22:11,late then cancelled. I'm stuck ordering food bc of no coverage at work and I have been let down hard.,1,Bryant Bickenbach,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
1/14/24 12:31,Delivery Fees and Service fees are too high,1,Marc Roush,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
4/30/22 17:02,Fraudulent charges out of New York!!!! Over $100.00,1,Alex Lyons,Grubhub,Google Play,Price / Cost Complaint,Payment / App Bugs,Payment / App Bugs
9/11/20 5:35,The charge a lot of hidden fees twice and it looks like they dont pay the drivers because they prefilled the tip amount to 20%,1,David Maddon,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
12/6/21 13:26,Grandma app in bed by 8p and she does not get her order in her location,1,CJ Coyt,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
1/7/22 21:35,"Signed up for a trial of their Grubhub+, attempted to place an order & it was immediately canceled. Contacted customer care & was told the account I'd just created was blocked. Assured me they'd clear the issue & contact me within 48hours. A week passed with no contact & my account still blocked, so I contacted them again. Was told they'd now escalated the case & I'd hear back within 48hours. Was never contacted afterward. Trial ends with me never placing an order & account still blocked. Trash",1,Christopher Williams,Grubhub,Google Play,Customer Support Experience,Customer Support Experience,Customer Support Experience
4/14/23 0:54,"These food delivery apps suck compared to when the first came out. Trying to milk as much money as possible while doing none of the work. To top it off I ordered today and my driver went to the other side of town to get another order. Mine got delayed and was, of course, cold and soggy. I unsubbed, Un-installed, and wrote this review. Greed ruins everything great uoi",1,chicken dinner,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
9/2/22 4:12,"Out of 5 orders only ONE has been successfully delivered due to no fault of user...says refund has been issued...then takes over 5 business days to credit back to account. There is never a reason to why ""something went wrong and we had to refund your order"". It never tells you what the issue was. And also lists places that don't even accept grubhub??!! Please fix or account will be terminated.",1,Devin Henderson,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
10/22/20 20:13,Every time i have tried to place an order it never processed door dash and uber eats never let me down,1,Luiscarlos Ornelas,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
7/1/22 19:32,The app won't let me confirm my address when ordering,1,Gordon Schultz-Day,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
1/17/21 21:50,"Stop raising your prices! And take better care of your drivers too. Disgusting. Also, its BS we can't get ahold of customer service. Plus Ive ordered from the same place more than 3 times and it still says I have to order 1 more time.",1,Jerrett McKissen,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
4/20/21 22:19,"way too many hidden fees, prices increased over shops menu board. scam",1,Brian DeBaun,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
10/11/20 2:46,"Installed the app. Tried to order. Order gets immediately canceled. I go into chat to explain if this is going to be an ongoing problem if I order again. Got told ""It got canceled and you'll receive a refund."" (something I already knew.) Representative left chat before I could send my response and question. Chat says I can rate the experience. It doesn't. So I'm doing it here. Thanks GrubHub.",1,Iggy M,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
9/3/20 16:48,I think the charges are outrageous. The driver doesn't even receive them. And it cost double what the food does to order. I understand it's a business. But this is just plain robbery!,1,Kyxrah,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
3/30/21 0:44,Multiple times waiting longer than TWO HOURS to get food. That's two hours past the notification that my food was being prepared. Uninstalling Do not recommend,1,Andrew Lewis,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
